Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,03-01-2020
Guangxi,China,2020-01-01,252,2,202,23.8298,108.7881,03-03-2020
Shaanxi,China,2020-01-01,245,1,216,35.1917,108.8701,03-03-2020
,France,2020-01-01,204,4,12,47.0000,2.0000,03-03-2020
,Germany,2020-01-01,196,0,16,51.0000,9.0000,03-03-2020
Yunnan,China,2020-01-01,174,2,169,24.9740,101.4870,03-03-2020
Hainan,China,2020-01-01,168,5,155,19.1959,109.7453,03-03-2020
,Spain,2020-01-01,165,1,2,40.0000,-4.0000,03-03-2020
Guizhou,China,2020-01-01,146,2,114,26.8154,106.8748,03-03-2020
Tianjin,China,2020-01-01,136,3,124,39.3054,117.3230,03-03-2020
Shanxi,China,2020-01-01,133,0,124,37.5777,112.2922,03-03-2020
Liaoning,China,2020-01-01,125,1,106,41.2956,122.6085,03-03-2020
,Singapore,2020-01-01,110,0,78,1.2833,103.8333,03-03-2020
Hong Kong,Hong Kong,2020-01-01,100,2,37,22.3000,114.2000,03-03-2020
Jilin,China,2020-01-01,93,1,83,43.6661,126.1923,03-03-2020
Gansu,China,2020-01-01,91,2,86,36.0611,103.8343,03-03-2020
Xinjiang,China,2020-01-01,76,3,68,41.1129,85.2401,03-03-2020
Inner Mongolia,China,2020-01-01,75,1,59,44.0935,113.9448,03-03-2020
Ningxia,China,2020-01-01,74,0,69,37.2692,106.1655,03-03-2020
,Kuwait,2020-01-01,56,0,0,29.5000,47.7500,03-03-2020
,Switzerland,2020-01-01,56,0,2,46.8182,8.2275,03-03-2020
,United Kingdom,2020-01-01,51,0,8,55.0000,-3.0000,03-03-2020
,Bahrain,2020-01-01,49,0,0,26.0275,50.5500,03-03-2020
Unassigned Location (From Diamond Princess),United States,2020-01-01,45,0,0,35.4437,139.6380,03-03-2020
,Thailand,2020-01-01,43,1,31,15.0000,101.0000,03-03-2020
Taiwan,Taiwan,2020-01-01,42,1,12,23.7000,121.0000,03-03-2020
,Malaysia,2020-01-01,36,0,22,2.5000,112.5000,03-03-2020
,Iraq,2020-01-01,32,0,0,33.0000,44.0000,03-03-2020
,Norway,2020-01-01,32,0,0,60.4720,8.4689,03-03-2020
,United Arab Emirates,2020-01-01,27,0,5,24.0000,54.0000,03-03-2020
,Netherlands,2020-01-01,24,0,0,52.1326,5.2913,03-03-2020
,Austria,2020-01-01,21,0,0,47.5162,14.5501,03-03-2020
,Sweden,2020-01-01,21,0,0,63.0000,16.0000,03-03-2020
"King County, WA",United States,2020-01-01,21,6,1,47.5480,-121.9836,03-03-2020
"Toronto, ON",Canada,2020-01-01,19,0,2,43.6532,-79.3832,03-03-2020
Qinghai,China,2020-01-01,18,0,18,35.7452,95.9956,03-03-2020
,Vietnam,2020-01-01,16,0,16,16.0000,108.0000,03-03-2020
New South Wales,Australia,2020-01-01,13,0,4,-33.8688,151.2093,03-03-2020
,Belgium,2020-01-01,13,0,1,50.8333,4.0000,03-03-2020
,Lebanon,2020-01-01,13,0,0,33.8547,35.8623,03-03-2020
,Israel,2020-01-01,12,0,1,31.0000,35.0000,03-03-2020
,Oman,2020-01-01,12,0,2,21.0000,57.0000,03-03-2020
Queensland,Australia,2020-01-01,11,0,1,-28.0167,153.4000,03-03-2020
,Iceland,2020-01-01,11,0,0,64.9631,-19.0208,03-03-2020
"Santa Clara, CA",United States,2020-01-01,11,0,1,37.3541,-121.9552,03-03-2020
Macau,Macau,2020-01-01,10,0,9,22.1667,113.5500,03-03-2020
,San Marino,2020-01-01,10,1,0,43.9424,12.4578,03-03-2020
Victoria,Australia,2020-01-01,9,0,4,-37.8136,144.9631,03-03-2020
British Columbia,Canada,2020-01-01,9,0,3,49.2827,-123.1207,03-03-2020
,Croatia,2020-01-01,9,0,0,45.1667,15.5000,03-03-2020
,Ecuador,2020-01-01,7,0,0,-1.8312,-78.1834,03-03-2020
,Greece,2020-01-01,7,0,0,39.0742,21.8243,03-03-2020
,Qatar,2020-01-01,7,0,0,25.3548,51.1839,03-03-2020
,Denmark,2020-01-01,6,0,0,56.2639,9.5018,03-03-2020
,Finland,2020-01-01,6,0,1,64.0000,26.0000,03-03-2020
"Snohomish County, WA",United States,2020-01-01,6,1,0,48.0330,-121.8339,03-03-2020
,Algeria,2020-01-01,5,0,0,28.0339,1.6596,03-03-2020
,Czech Republic,2020-01-01,5,0,0,49.8175,15.4730,03-03-2020
,India,2020-01-01,5,0,3,21.0000,78.0000,03-03-2020
,Mexico,2020-01-01,5,0,1,23.0000,-102.0000,03-03-2020
,Pakistan,2020-01-01,5,0,0,30.3753,69.3451,03-03-2020
"Cook County, IL",United States,2020-01-01,4,0,2,41.7377,-87.6976,03-03-2020
South Australia,Australia,2020-01-01,3,0,2,-34.9285,138.6007,03-03-2020
,Azerbaijan,2020-01-01,3,0,0,40.1431,47.5769,03-03-2020
,Georgia,2020-01-01,3,0,0,42.3154,43.3569,03-03-2020
,Philippines,2020-01-01,3,1,1,13.0000,122.0000,03-03-2020
,Romania,2020-01-01,3,0,0,46.0000,25.0000,03-03-2020
,Russia,2020-01-01,3,0,2,60.0000,90.0000,03-03-2020
Western Australia,Australia,2020-01-01,2,1,0,-31.9505,115.8605,03-03-2020
,Brazil,2020-01-01,2,0,0,-14.2350,-51.9253,03-03-2020
,Egypt,2020-01-01,2,0,1,26.0000,30.0000,03-03-2020
,Estonia,2020-01-01,2,0,0,58.5953,25.0136,03-03-2020
